Name,Album,Artist,PreviewURL,Image,Language,SpotifyURL
Sparsha Sangeet (Raw),Sparsha Sangeet (Raw),Purna Rai,null,https://i.scdn.co/image/ab67616d0000b2737c634df4574cc35103dcb05f,Nepali,https://open.spotify.com/track/0jDqlKhZ43Yor5qbdJnwDu
Timro Pratiksa,Timro Pratiksa,Shallum Lama,null,https://i.scdn.co/image/ab67616d0000b27333291e41557e845c73f46232,Nepali,https://open.spotify.com/track/5nQA7m7xypeL7dFaGRwJO5
Hawa Jastai (Raw),Hawa Jastai (Raw),John Rai,null,https://i.scdn.co/image/ab67616d0000b2739473c582152847289b33c079,Nepali,https://open.spotify.com/track/3bFZlbgCRKxbjkMcaypmsO
GALTI,GALTI,Lov X,null,https://i.scdn.co/image/ab67616d0000b273fd8236198bf5f504efee4c8d,Nepali,https://open.spotify.com/track/7wnV3dG7O5M4dDJfk4PFFw
Laakhau Hajarau,Laakhau Hajarau,Yabesh Thapa,null,https://i.scdn.co/image/ab67616d0000b27340b0f57a4e93e6ba5ba50c21,Nepali,https://open.spotify.com/track/7FmmE8lJwwX61kVB3xU0vb
Malaai Chaana Na,Malaai Chaana Na,Sajjan Raj Vaidya,null,https://i.scdn.co/image/ab67616d0000b27363a1ce24bd655497af8b1c80,Nepali,https://open.spotify.com/track/3IJQVaQcf1LQDrPEhGIlnH
Hera Na,Hera Na,Samir Shrestha,null,https://i.scdn.co/image/ab67616d0000b273606fedbd9986b197ecfadf14,Nepali,https://open.spotify.com/track/4M4932qtiTRCfEiNqeYwaG
Badlirahaney Maya,Badlirahaney Maya,Lov X,null,https://i.scdn.co/image/ab67616d0000b273159256a5940a3b7d7354e150,Nepali,https://open.spotify.com/track/6efSnR6o9LxiS8Qz1rHIkM
Bhanai,Roka Yo Samay,Tribal Rain,null,https://i.scdn.co/image/ab67616d0000b273698de3a9f0f9794f7760ac7d,Nepali,https://open.spotify.com/track/0KqEwy3JfnY6ePwdXtCAfz
Timi Kaha (In the studio),Timi Kaha (In the studio),Alex Dware,null,https://i.scdn.co/image/ab67616d0000b273c9d1501c77b4baace09150b6,Nepali,https://open.spotify.com/track/70c5BLZ6REGtfGJshUYaTq
Timi Bhayera,Timi Bhayera,Akash Khadka,null,https://i.scdn.co/image/ab67616d0000b2731a4f146764c08f2aed82bb7c,Nepali,https://open.spotify.com/track/5nnWOlUC7lzfCp0G7kaILw
Timilai K Bhanu,GHUTAN,Lov X,null,https://i.scdn.co/image/ab67616d0000b273440d3ceae3ec49525afa78df,Nepali,https://open.spotify.com/track/6RbPlAiVDHYBOj0wd9Lm5T
