Name,Album,Artist,PreviewURL,Image,Language,SpotifyURL
Kharab Bani,Nakab,Yodda,null,https://i.scdn.co/image/ab67616d0000b2732a776774aaea8028dcdf086e,Nepali,https://open.spotify.com/track/4Bm0JSxmXNFegyfyCdBz3N
Aa Budi,Jay Shamboo,Chirag Khadka,null,https://i.scdn.co/image/ab67616d0000b273654b14ef35c008ef6e8d2a87,Nepali,https://open.spotify.com/track/7fxijz7wRWeiv2nVzWCCPE
Hamro Nepalma,NJK 2018,Neetesh Jung Kunwar,null,https://i.scdn.co/image/ab67616d0000b273f22c04aff8838756b33283e7,Nepali,https://open.spotify.com/track/2fe9C8rPdgmjIKljDZSdH1
Flirty Maya,NJK 2018,Neetesh Jung Kunwar,null,https://i.scdn.co/image/ab67616d0000b273f22c04aff8838756b33283e7,Nepali,https://open.spotify.com/track/0l57iePpa93L0rC7W042kN
Baacha Bhayo,Baacha Bhayo,Swoopna Suman,null,https://i.scdn.co/image/ab67616d0000b273167ed441396724d1d55b5e6b,Nepali,https://open.spotify.com/track/7eKbxMKiddxjbylev5F3nZ
Risaune Bhaye,Risaune Bhaye,Sushant KC,null,https://i.scdn.co/image/ab67616d0000b273f74308b91630e9669c2f8f66,Nepali,https://open.spotify.com/track/5DRxbKcBMgMT4nR8eMBjgR
Ae Mutu,Ae Mutu,Yabesh Thapa,null,https://i.scdn.co/image/ab67616d0000b273ded3dbe3a36179504198e30a,Nepali,https://open.spotify.com/track/0oLlykxJddGnu0eLel4JuO
K Huncha Bhanera,PROJECT COLLABORATION,DJ Bishow,null,https://i.scdn.co/image/ab67616d0000b27357ef1d3d217a203ffb1c68ab,Nepali,https://open.spotify.com/track/2PYbaVHdpS0YVqtiLXf7sD
Sleeping on the Blacktop,Imaginary Appalachia,Colter Wall,null,https://i.scdn.co/image/ab67616d0000b273664369d876deb40cedc5cffa,English,https://open.spotify.com/track/6fhgO6p9DsTyHqPctyzDkV
The Devil Wears a Suit and Tie,Imaginary Appalachia,Colter Wall,null,https://i.scdn.co/image/ab67616d0000b273664369d876deb40cedc5cffa,English,https://open.spotify.com/track/43UV5Uk0ntzH6MP8Rx1RKh
Ain't No Use,Ain't No Use,Danny Worsnop,null,https://i.scdn.co/image/ab67616d0000b273e176f39e019eca2e73ab2895,English,https://open.spotify.com/track/2IZe5aqNLvAaXKeiD2l1m2
Rich Men North of Richmond,Rich Men North of Richmond,Oliver Anthony Music,null,https://i.scdn.co/image/ab67616d0000b273f842f028c8716c62bbd7c57a,English,https://open.spotify.com/track/78Du4CMFgnhdlG33gblkiP
Keep The Wolves Away,And You Are Me,Uncle Lucius,null,https://i.scdn.co/image/ab67616d0000b273e074af9f5663eda06c5341ac,English,https://open.spotify.com/track/1YzIpqwnj5M8qylwn1Tr9Z
Nose On The Grindstone (OurVinyl Sessions),Tyler Childers | OurVinyl Sessions,Tyler Childers,null,https://i.scdn.co/image/ab67616d0000b273ab7a2287bd2c3b20b27e4342,English,https://open.spotify.com/track/4a2uqVlpRChHj32EjJLu7G
We Ride,Poets & Old Souls,Bryan Martin,null,https://i.scdn.co/image/ab67616d0000b273eda625668a424f4ee44e7998,English,https://open.spotify.com/track/72kGuWpRiuA149Bn5lDkIO
Down In The Gulley,Shine On Rainy Day,Brent Cobb,null,https://i.scdn.co/image/ab67616d0000b2732813fcc9210dcaa339707652,English,https://open.spotify.com/track/7IPMqEaPMAjAIRXjyGOgxD
Open the Gate,American Heartbreak,Zach Bryan,null,https://i.scdn.co/image/ab67616d0000b273ba30859a1ca79c5a372d177a,English,https://open.spotify.com/track/6pamafD9p0K7FHfJPz6TYF
Black Creek,No Place Left to Leave (2006),Brent Cobb,null,https://i.scdn.co/image/ab67616d0000b2734908bb88d2a2800baa13d16a,English,https://open.spotify.com/track/4jB3Mw900goYibsFAueHph
Nine Ball,Boys Of Faith,Zach Bryan,null,https://i.scdn.co/image/ab67616d0000b2732ebcfb3e92f937a1a4cc16f0,English,https://open.spotify.com/track/3xOi0YhDREKRURFHoNaAOQ
If I Were the Devil,If I Were the Devil,Colby Acuff,null,https://i.scdn.co/image/ab67616d0000b273b969cb65e61ab0dc71634f46,English,https://open.spotify.com/track/3lsWwQnDg99gtni4g5V0UG
When I See You Again,If I Were the Devil,Colby Acuff,null,https://i.scdn.co/image/ab67616d0000b273b969cb65e61ab0dc71634f46,English,https://open.spotify.com/track/4YX2jHMkfHpxB3X87x3GNt
Heading South,Heading South,Zach Bryan,null,https://i.scdn.co/image/ab67616d0000b273f9017bcd001d030d46850226,English,https://open.spotify.com/track/2Dct3GykKZ58hpWRFfe2Qd
Coal,Bottles and Bibles,Tyler Childers,null,https://i.scdn.co/image/ab67616d0000b273662482495c5ac20d03a32c9a,English,https://open.spotify.com/track/3Fq4shhJdENQhwlLk9qoDx
A Cigarette,Actin’ Up Again,Gavin Adcock,null,https://i.scdn.co/image/ab67616d0000b27302f91677ed4573b84bdbcc2d,English,https://open.spotify.com/track/1YhTK4LOmqLusIf4tPwtW5
Dying Breed,If I Were the Devil,Colby Acuff,null,https://i.scdn.co/image/ab67616d0000b273b969cb65e61ab0dc71634f46,English,https://open.spotify.com/track/32hfK9Fo5V46JpWtxCwHSW
Follow You To Virgie (OurVinyl Sessions),Tyler Childers | OurVinyl Sessions,Tyler Childers,null,https://i.scdn.co/image/ab67616d0000b273ab7a2287bd2c3b20b27e4342,English,https://open.spotify.com/track/4Oz6xl8qhJTdjYZeT98V4m
Whitehouse Road (OurVinyl Sessions),Tyler Childers | OurVinyl Sessions,Tyler Childers,null,https://i.scdn.co/image/ab67616d0000b273ab7a2287bd2c3b20b27e4342,English,https://open.spotify.com/track/3BCsNM2w6HcCbrVWlhjTpk
Missed Call,No Vacancy,Treaty Oak Revival,null,https://i.scdn.co/image/ab67616d0000b273c9821c79b260d77f2a55f7d7,English,https://open.spotify.com/track/6ybZUqlfk938oS6WeBmDab
Four Leaf Clover,Actin’ Up Again,Gavin Adcock,null,https://i.scdn.co/image/ab67616d0000b27302f91677ed4573b84bdbcc2d,English,https://open.spotify.com/track/4rKwvkw0x1K3I9dr5lwRhg
In Between,Have A Nice Day,Treaty Oak Revival,null,https://i.scdn.co/image/ab67616d0000b2732df46e25c66fa879c98b547d,English,https://open.spotify.com/track/3vA24UtKMDGaK5KkzsulYD
Porch Light,Porch Light,Josh Meloy,null,https://i.scdn.co/image/ab67616d0000b2739e917e93a50b83029871627c,English,https://open.spotify.com/track/43SoxERu5UlXAgt4Es1VQU
No Vacancy,No Vacancy,Treaty Oak Revival,null,https://i.scdn.co/image/ab67616d0000b273c9821c79b260d77f2a55f7d7,English,https://open.spotify.com/track/3pVs5Zehts89WLyBPiYfxG
Big Iron,Gunfighter Ballads And Trail Songs,Marty Robbins,null,https://i.scdn.co/image/ab67616d0000b273084051346f432cc68a1279cd,English,https://open.spotify.com/track/0AQquaENerGps8BQmbPw14
Hurricane,Top Hat Crown & the Clapmaster's Son,The Band Of Heathens,null,https://i.scdn.co/image/ab67616d0000b273c52add1e13e70e5b6ca8ab66,English,https://open.spotify.com/track/3s5NrHgyTkuinl0TgHCHeK
Happy Face,Happy Face,Treaty Oak Revival,null,https://i.scdn.co/image/ab67616d0000b2733f8cb9bbc0c0cb9604d6b27c,English,https://open.spotify.com/track/7KvZLaYFqBqoADTelAsWWO
Bury My Bones,Whiskey Myers,Whiskey Myers,null,https://i.scdn.co/image/ab67616d0000b273f76b0fb2ea247c31d112a6da,English,https://open.spotify.com/track/6yggZbtgrxPNwWOs06cS8L
Scornful Woman,Scornful Woman,Oliver Anthony Music,null,https://i.scdn.co/image/ab67616d0000b27350ca1d43c778ca1de9e99979,English,https://open.spotify.com/track/5oEM9EDKL9y4XLTJzi0g96
Loud and Heavy,Adobe Sessions,Cody Jinks,null,https://i.scdn.co/image/ab67616d0000b273015b740ee3bc1f5ae4556aa2,English,https://open.spotify.com/track/1ppTqTBXqnlVGPxlluGHRE
Bad Luck,Cold Beer & Country Music,Zach Top,null,https://i.scdn.co/image/ab67616d0000b273e60cfb182df9bf24b4713edd,English,https://open.spotify.com/track/1OYHXCuHdzHjpHqHlY1g1r
Broken Window Serenade,Firewater,Whiskey Myers,null,https://i.scdn.co/image/ab67616d0000b2732a56fbcf4c26d35d6e0bd9f1,English,https://open.spotify.com/track/1VOSSXuWRcBj2rpfxNdX9v
Met the Devil in Oklahoma,Oklahoma,Josh Meloy,null,https://i.scdn.co/image/ab67616d0000b273408c6ee41a75045f8210fd5b,English,https://open.spotify.com/track/32GtaR8mm14DOmhWzG8Jik
Ode To Bourbon,No Vacancy,Treaty Oak Revival,null,https://i.scdn.co/image/ab67616d0000b273c9821c79b260d77f2a55f7d7,English,https://open.spotify.com/track/4kvCtReby19JPkePLwy8Pq
This Damn Song,Pecos & the Rooftops,Pecos & the Rooftops,null,https://i.scdn.co/image/ab67616d0000b2730d1b9dd6cac43fa9d5c3659d,English,https://open.spotify.com/track/7hSdspr7RBzq8VYOSVwALb
Alabama,Natchez,Bishop Gunn,null,https://i.scdn.co/image/ab67616d0000b273c880f02afb5d20a74f10da96,English,https://open.spotify.com/track/4cudpEOpvt73zMfJSBoNut
